	Temperature	Rain	Zipcode	Count	Month	Hour	Weekday
224	44.0	0.0	10469	19	1	1	4
225	44.0	0.0	10470	2	1	1	4
226	44.0	0.0	10471	1	1	1	4
227	44.0	0.0	10472	26	1	1	4
228	44.0	0.0	10473	30	1	1	4
229	44.0	0.0	10474	31	1	1	4
230	44.0	0.0	10475	2	1	1	4
231	44.0	0.0	10550	1	1	1	4
232	44.0	0.0	10591	1	1	1	4
233	44.0	0.0	10594	1	1	1	4
234	44.0	0.0	10801	1	1	1	4
235	44.0	0.0	10804	3	1	1	4
236	44.0	0.0	11010	87	1	1	4
237	44.0	0.0	11030	1	1	1	4
238	44.0	0.0	11101	817	1	1	4
239	44.0	0.0	11102	408	1	1	4
240	44.0	0.0	11103	233	1	1	4
241	44.0	0.0	11104	88	1	1	4
242	44.0	0.0	11105	211	1	1	4
243	44.0	0.0	11106	35	1	1	4
244	44.0	0.0	11109	2	1	1	4
245	44.0	0.0	11201	649	1	1	4
246	44.0	0.0	11203	39	1	1	4
247	44.0	0.0	11204	4	1	1	4
248	44.0	0.0	11205	148	1	1	4
249	44.0	0.0	11206	987	1	1	4
250	44.0	0.0	11207	65	1	1	4
251	44.0	0.0	11208	14	1	1	4
252	44.0	0.0	11209	17	1	1	4
253	44.0	0.0	11210	16	1	1	4
254	44.0	0.0	11211	355	1	1	4
255	44.0	0.0	11212	33	1	1	4
256	44.0	0.0	11213	73	1	1	4
257	44.0	0.0	11214	1	1	1	4
258	44.0	0.0	11215	640	1	1	4
259	44.0	0.0	11216	443	1	1	4
260	44.0	0.0	11217	136	1	1	4
261	44.0	0.0	11218	37	1	1	4
262	44.0	0.0	11219	11	1	1	4
263	44.0	0.0	11220	59	1	1	4
264	44.0	0.0	11221	227	1	1	4
265	44.0	0.0	11222	443	1	1	4
266	44.0	0.0	11223	4	1	1	4
267	44.0	0.0	11224	20	1	1	4
268	44.0	0.0	11225	198	1	1	4
269	44.0	0.0	11226	79	1	1	4
270	44.0	0.0	11228	11	1	1	4
271	44.0	0.0	11229	6	1	1	4
272	44.0	0.0	11230	19	1	1	4
273	44.0	0.0	11231	259	1	1	4
274	44.0	0.0	11232	29	1	1	4
275	44.0	0.0	11233	116	1	1	4
276	44.0	0.0	11234	8	1	1	4
277	44.0	0.0	11235	9	1	1	4
278	44.0	0.0	11236	19	1	1	4
279	44.0	0.0	11237	169	1	1	4
280	44.0	0.0	11238	320	1	1	4
281	44.0	0.0	11239	7	1	1	4
282	44.0	0.0	11249	69	1	1	4
283	44.0	0.0	11354	4	1	1	4
284	44.0	0.0	11355	50	1	1	4
285	44.0	0.0	11356	3	1	1	4
286	44.0	0.0	11358	1	1	1	4
287	44.0	0.0	11362	1	1	1	4
288	44.0	0.0	11365	2	1	1	4
289	44.0	0.0	11367	4	1	1	4
290	44.0	0.0	11368	127	1	1	4
291	44.0	0.0	11369	22	1	1	4
292	44.0	0.0	11370	10	1	1	4
293	44.0	0.0	11372	149	1	1	4
294	44.0	0.0	11373	244	1	1	4
295	44.0	0.0	11374	87	1	1	4
296	44.0	0.0	11375	158	1	1	4
297	44.0	0.0	11377	572	1	1	4
298	44.0	0.0	11378	42	1	1	4
299	44.0	0.0	11379	6	1	1	4
300	44.0	0.0	11385	76	1	1	4
301	44.0	0.0	11414	1	1	1	4
302	44.0	0.0	11415	41	1	1	4
303	44.0	0.0	11416	3	1	1	4
304	44.0	0.0	11417	6	1	1	4
305	44.0	0.0	11418	15	1	1	4
306	44.0	0.0	11419	6	1	1	4
307	44.0	0.0	11420	11	1	1	4
308	44.0	0.0	11421	9	1	1	4
309	44.0	0.0	11423	1	1	1	4
310	44.0	0.0	11429	1	1	1	4
311	44.0	0.0	11430	2	1	1	4
312	44.0	0.0	11432	6	1	1	4
313	44.0	0.0	11433	33	1	1	4
314	44.0	0.0	11435	50	1	1	4
315	44.0	0.0	11436	5	1	1	4
316	44.0	0.0	11693	1	1	1	4
317	43.0	0.0	07012	1	1	2	4
318	43.0	0.0	07028	1	1	2	4
319	43.0	0.0	07030	4	1	2	4
320	43.0	0.0	07047	2	1	2	4
321	43.0	0.0	07070	1	1	2	4
322	43.0	0.0	07093	2	1	2	4
323	43.0	0.0	07095	1	1	2	4
324	43.0	0.0	07201	1	1	2	4
325	43.0	0.0	07302	3	1	2	4
326	43.0	0.0	07311	3	1	2	4
327	43.0	0.0	07423	2	1	2	4
328	43.0	0.0	07430	1	1	2	4
329	43.0	0.0	07601	1	1	2	4
330	43.0	0.0	07626	1	1	2	4
331	43.0	0.0	07632	2	1	2	4
332	43.0	0.0	07653	1	1	2	4
333	43.0	0.0	10001	741	1	2	4
334	43.0	0.0	10002	2574	1	2	4
335	43.0	0.0	10003	373	1	2	4
336	43.0	0.0	10007	133	1	2	4
337	43.0	0.0	10009	1149	1	2	4
338	43.0	0.0	10010	2770	1	2	4
339	43.0	0.0	10011	405	1	2	4
340	43.0	0.0	10012	470	1	2	4
341	43.0	0.0	10013	359	1	2	4
