Coordinate	Zipcode
41.02,-73.86	10522
40.71,-73.65	11552
40.72,-73.62	11530
40.72,-73.63	11530
40.72,-73.60	11756
40.72,-73.61	11550
40.72,-73.64	11530
40.72,-73.65	11530
41.07,-73.56	06902
40.72,-73.68	11530
41.07,-73.55	06905
40.12,-74.84	19007
40.64,-74.20	07202
40.66,-73.93	11203
40.66,-73.96	11225
40.92,-73.94	07670
41.08,-74.14	07430
40.66,-73.94	11203
40.92,-73.96	07670
41.01,-73.69	10573
41.01,-73.62	06830
41.01,-73.65	06830
41.01,-73.64	06830
41.01,-73.66	10573
40.95,-73.76	10538
40.71,-73.44	11735
40.71,-73.40	11701
40.69,-73.88	11208
40.69,-73.89	11385
40.69,-73.80	11435
40.69,-73.81	11419
40.69,-73.82	11419
40.69,-73.83	11419
40.69,-73.84	11416
40.69,-73.85	11421
40.69,-73.86	11421
40.69,-73.87	11208
40.76,-73.08	11782
40.76,-73.01	11772
40.67,-73.86	11208
40.67,-73.87	11208
40.67,-73.84	11417
40.67,-73.85	11414
40.67,-73.82	11420
40.67,-73.83	11420
40.67,-73.80	11436
40.67,-73.81	11420
40.77,-73.29	11706
40.62,-74.38	07076
40.67,-73.88	11208
40.67,-73.89	11207
40.91,-74.08	07662
40.91,-74.06	07607
40.91,-74.07	07652
40.91,-74.04	07601
40.91,-74.05	07601
40.91,-74.03	07601
40.91,-74.00	07666
40.91,-74.01	07621
41.18,-73.86	10562
40.61,-73.91	11234
40.57,-74.16	10314
40.57,-74.13	10306
40.89,-74.09	07663
40.57,-74.11	10306
40.57,-74.10	10306
40.61,-73.97	11230
40.62,-73.89	11239
40.57,-74.18	10312
40.88,-73.81	10475
40.88,-73.80	10475
40.88,-73.83	10475
40.88,-73.82	10475
40.88,-73.85	10469
40.88,-73.84	10469
40.88,-73.87	10467
40.88,-73.86	10467
40.88,-73.89	10468
40.88,-73.88	10467
41.03,-73.73	10577
40.80,-73.89	10474
40.80,-73.88	10474
40.80,-74.32	07039
40.38,-74.21	07733
40.80,-73.80	11357
40.80,-73.83	10473
40.80,-73.82	11357
40.80,-73.85	11356
40.80,-73.84	11356
40.80,-73.87	10474
40.80,-73.86	10473
40.98,-73.86	10710
40.60,-74.27	07065
40.98,-73.80	10583
40.98,-73.81	10583
40.98,-73.82	10583
40.98,-73.83	10583
40.24,-74.08	07712
40.69,-74.18	07114
40.69,-74.17	07201
40.69,-74.15	07114
40.69,-74.12	07105
40.69,-74.13	07002
40.69,-74.10	07305
40.69,-74.11	07305
40.72,-74.02	10282
40.57,-74.62	08876
40.22,-74.49	08555
40.57,-74.63	08869
40.67,-73.69	11580
40.51,-74.40	08817
40.67,-73.64	11570
40.67,-73.66	11565
40.67,-73.67	11565
40.67,-73.63	11570
40.86,-73.89	10458
40.86,-73.88	10458
40.86,-73.83	10469
40.86,-73.82	10469
40.86,-73.80	10464
40.86,-73.87	10467
40.86,-73.86	10469
40.86,-73.85	10469
